date,country,cnt,V_18_60,V_18_60_adj,V_60,V_60_adj,V_tot,V_tot_adj
2020-07-26,Denmark,DNK,0,0,0,0,0,0
2020-07-27,Denmark,DNK,0,0,0,0,0,0
2020-07-28,Denmark,DNK,0,0,0,0,0,0
2020-07-29,Denmark,DNK,0,0,0,0,0,0
2020-07-30,Denmark,DNK,0,0,0,0,0,0
2020-07-31,Denmark,DNK,0,0,0,0,0,0
2020-08-01,Denmark,DNK,0,0,0,0,0,0
2020-08-02,Denmark,DNK,0,0,0,0,0,0
2020-08-03,Denmark,DNK,0,0,0,0,0,0
2020-08-04,Denmark,DNK,0,0,0,0,0,0
2020-08-05,Denmark,DNK,0,0,0,0,0,0
2020-08-06,Denmark,DNK,0,0,0,0,0,0
2020-08-07,Denmark,DNK,0,0,0,0,0,0
2020-08-08,Denmark,DNK,0,0,0,0,0,0
2020-08-09,Denmark,DNK,0,0,0,0,0,0
2020-08-10,Denmark,DNK,0,0,0,0,0,0
2020-08-11,Denmark,DNK,0,0,0,0,0,0
2020-08-12,Denmark,DNK,0,0,0,0,0,0
2020-08-13,Denmark,DNK,0,0,0,0,0,0
2020-08-14,Denmark,DNK,0,0,0,0,0,0
2020-08-15,Denmark,DNK,0,0,0,0,0,0
2020-08-16,Denmark,DNK,0,0,0,0,0,0
2020-08-17,Denmark,DNK,0,0,0,0,0,0
2020-08-18,Denmark,DNK,0,0,0,0,0,0
2020-08-19,Denmark,DNK,0,0,0,0,0,0
2020-08-20,Denmark,DNK,0,0,0,0,0,0
2020-08-21,Denmark,DNK,0,0,0,0,0,0
2020-08-22,Denmark,DNK,0,0,0,0,0,0
2020-08-23,Denmark,DNK,0,0,0,0,0,0
2020-08-24,Denmark,DNK,0,0,0,0,0,0
2020-08-25,Denmark,DNK,0,0,0,0,0,0
2020-08-26,Denmark,DNK,0,0,0,0,0,0
2020-08-27,Denmark,DNK,0,0,0,0,0,0
2020-08-28,Denmark,DNK,0,0,0,0,0,0
2020-08-29,Denmark,DNK,0,0,0,0,0,0
2020-08-30,Denmark,DNK,0,0,0,0,0,0
2020-08-31,Denmark,DNK,0,0,0,0,0,0
2020-09-01,Denmark,DNK,0,0,0,0,0,0
2020-09-02,Denmark,DNK,0,0,0,0,0,0
2020-09-03,Denmark,DNK,0,0,0,0,0,0
2020-09-04,Denmark,DNK,0,0,0,0,0,0
2020-09-05,Denmark,DNK,0,0,0,0,0,0
2020-09-06,Denmark,DNK,0,0,0,0,0,0
2020-09-07,Denmark,DNK,0,0,0,0,0,0
2020-09-08,Denmark,DNK,0,0,0,0,0,0
2020-09-09,Denmark,DNK,0,0,0,0,0,0
2020-09-10,Denmark,DNK,0,0,0,0,0,0
2020-09-11,Denmark,DNK,0,0,0,0,0,0
2020-09-12,Denmark,DNK,0,0,0,0,0,0
2020-09-13,Denmark,DNK,0,0,0,0,0,0
2020-09-14,Denmark,DNK,0,0,0,0,0,0
2020-09-15,Denmark,DNK,0,0,0,0,0,0
2020-09-16,Denmark,DNK,0,0,0,0,0,0
2020-09-17,Denmark,DNK,0,0,0,0,0,0
2020-09-18,Denmark,DNK,0,0,0,0,0,0
