X,country,cnt,date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,StringencyIndex
10492,Finland,FIN,2021-01-31,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10493,Finland,FIN,2021-02-01,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10494,Finland,FIN,2021-02-02,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10495,Finland,FIN,2021-02-03,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10496,Finland,FIN,2021-02-04,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10497,Finland,FIN,2021-02-05,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10498,Finland,FIN,2021-02-06,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10499,Finland,FIN,2021-02-07,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10500,Finland,FIN,2021-02-08,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10501,Finland,FIN,2021-02-09,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10502,Finland,FIN,2021-02-10,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10503,Finland,FIN,2021-02-11,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10504,Finland,FIN,2021-02-12,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10505,Finland,FIN,2021-02-13,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10506,Finland,FIN,2021-02-14,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10507,Finland,FIN,2021-02-15,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10508,Finland,FIN,2021-02-16,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10509,Finland,FIN,2021-02-17,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10510,Finland,FIN,2021-02-18,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10511,Finland,FIN,2021-02-19,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10512,Finland,FIN,2021-02-20,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10513,Finland,FIN,2021-02-21,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10514,Finland,FIN,2021-02-22,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10515,Finland,FIN,2021-02-23,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10516,Finland,FIN,2021-02-24,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10517,Finland,FIN,2021-02-25,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10518,Finland,FIN,2021-02-26,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10519,Finland,FIN,2021-02-27,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10520,Finland,FIN,2021-02-28,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10521,Finland,FIN,2021-03-01,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10522,Finland,FIN,2021-03-02,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10523,Finland,FIN,2021-03-03,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10524,Finland,FIN,2021-03-04,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10525,Finland,FIN,2021-03-05,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10526,Finland,FIN,2021-03-06,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10527,Finland,FIN,2021-03-07,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10528,Finland,FIN,2021-03-08,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10529,Finland,FIN,2021-03-09,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10530,Finland,FIN,2021-03-10,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10531,Finland,FIN,2021-03-11,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10532,Finland,FIN,2021-03-12,2,2,2,4,0,1,0,3,2,1,2,2,1,1,52.31
10533,Finland,FIN,2021-03-13,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10534,Finland,FIN,2021-03-14,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
